,Intensity
-7.86E-05,-0.61521569
2.18E-07,-0.38776471
9.60E-05,0.21615686
0.00036601,-0.60737255
0.0008102,-0.27011765
0.00142856,0.59262745
0.00222112,-2.2622745
0.00318787,-2.3799216
0.00432881,-3.2740392
0.00564393,-3.7995294
0.00713324,-3.5171765
0.00879674,-3.8152157
0.01063443,-3.6112941
0.01264631,-3.655282
0.01483238,-3.7146902
0.01719263,-0.73853842
0.01972708,4.5751341
0.02243571,9.5988765
0.02531853,6.5522965
0.02837554,4.0236295
0.03160674,7.7148362
0.03501213,2.9278774
0.0385917,-3.6470508
0.04234547,-2.8726935
0.04627342,3.2823218
0.05037556,1.4611324
0.05465189,0.34609132
0.05910241,0.031316072
0.06372712,-0.51064427
0.06852602,-2.5425348
0.0734991,-1.5702379
0.07864638,5.5121289
0.08396784,9.7790752
0.08946349,4.5639345
0.09513333,-1.890156
0.10097736,-3.5518238
0.10699557,-3.5583237
0.11318798,-3.5959303
0.11955457,-2.4724867
0.12609535,-0.36838501
0.13281032,-0.052252761
0.13969948,-1.2103644
0.14676283,0.000417245
0.15400037,1.9173472
0.16141209,3.607092
0.16899801,2.2539654
0.17675811,1.8814969
0.1846924,1.9877257
0.19280088,1.3255928
0.20108355,-0.081372134
0.20954041,-2.1468947
0.21817145,-1.3964652
0.22697669,0.54638709
0.23595611,1.4228386
0.24510972,1.099556
0.25443752,0.90202949
0.26393951,2.1479061
0.27361569,0.43718587
0.28346605,-1.6262097
0.29349061,-1.6422805
0.30368935,-1.9012227
0.31406228,-2.3559774
0.3246094,-2.6614466
0.33533071,-1.3039049
0.34622621,-0.095116864
0.3572959,0.54138802
0.36853977,1.6801196
0.37995783,1.4779406
0.39155009,1.0407333
0.40331653,1.1057527
0.41525716,1.2573125
0.42737197,1.6365892
0.43966098,1.8278965
0.45212418,1.7841755
0.46476156,1.2152302
0.47757313,0.56811946
0.49055889,0.007549095
0.50371884,-0.56844166
0.51705298,-0.91671555
0.53056131,-0.66864512
0.54424382,-0.30266175
0.55810053,-0.14033406
0.57213142,0.27323991
0.5863365,0.20864839
0.60071577,0.53647962
0.61526923,1.1234003
0.62999688,0.95764562
0.64489871,1.254902
0.65997473,1.1594198
0.67522495,0.89137282
0.69064935,0.56840813
0.70624794,-0.55457233
0.72202072,-0.51678424
0.73796769,-1.3652864
0.75408884,-0.75498084
0.77038419,-0.83488711
0.78685372,-1.4716719
0.80349744,0.18956679
0.82031535,-0.95705344
0.83730745,-0.49584629
0.85447374,0.22416861
0.87181421,-0.067596954
0.88932888,0.40924917
0.90701773,0.90176579
0.92488077,0.91583528
0.942918,0.72596744
0.96112942,0.7400054
0.97951503,1.7814786
0.99807483,0.89352421
1.0168088,1.2918286
1.035717,1.5724702
1.0547993,1.3354489
1.0740559,1.106255
1.0934866,0.90057476
1.1130916,1.0948787
1.1328707,0.94406893
1.152824,0.41677276
1.1729515,0.82279416
1.1932532,0.50723116
1.213729,0.70145632
1.2343791,0.67605787
1.2552033,0.65848679
1.2762018,1.2291352
1.2973744,1.1252581
1.3187212,1.1390123
1.3402422,0.94882914
1.3619374,0.97039492
1.3838068,0.97625866
1.4058504,0.98994977
1.4280681,1.2546055
1.4504601,1.378069
1.4730262,1.2819089
1.4957665,1.1700467
1.518681,0.83856099
1.5417697,0.67960848
1.5650326,0.50495394
1.5884697,0.17342088
1.612081,0.13991128
1.6358664,0.11422904
1.6598261,0.01009967
1.6839599,-0.046986645
1.7082679,0.13120539
1.7327501,0.27016598
1.7574065,0.36989511
1.7822371,0.48529475
1.8072419,0.49871784
1.8324209,0.51212517
1.857774,0.62747751
1.8833013,0.4290886
1.9090029,0.29342902
1.9348786,0.19696936
1.9609285,0.26519982
1.9871526,0.15302235
2.0135509,0.11926049
2.0401234,0.37567895
2.06687,0.23992477
2.0937909,0.33160581
2.1208859,0.39189854
2.1481551,0.5149206
2.1755985,0.34773081
2.2032161,0.25111349
2.2310079,0.43683335
2.2589739,0.33234136
2.2871141,0.43175518
2.3154285,0.45272186
2.343917,0.44230022
2.3725797,0.56519615
2.4014167,0.40572337
2.4304278,0.61486228
2.4596131,0.47888739
2.4889726,0.46054378
2.5185062,0.52845893
2.5482141,0.42380928
2.5780962,0.38973211
2.6081524,0.37132544
2.6383828,0.24309909
2.6687875,0.1854452
2.6993663,0.19052065
2.7301193,0.070090135
2.7610465,-0.026826733
2.7921478,0.29192691
2.8234234,0.13223341
2.8548732,-0.20786801
2.8864971,0.18926971
2.9182952,0.15501911
2.9502676,0.003105683
2.9824141,0.19627453
3.0147348,0.091388401
3.0472296,0.25315317
3.0798987,0.34431394
3.112742,0.2158511
3.1457594,0.55011759
3.1789511,0.39025067
3.2123169,0.53625033
3.2458569,0.83125384
3.2795711,0.35761413
3.3134595,0.7780763
3.3475221,0.87695408
3.3817589,0.5993455
3.4161698,0.78446626
3.450755,0.78133596
3.4855143,0.8644644
3.5204478,0.90051825
3.5555556,0.62283085
3.5908375,0.86277473
3.6262936,0.68701658
3.6619238,0.7073211
3.6977283,0.78251181
3.733707,0.63023577
3.7698598,0.73676749
