,Intensity
-7.86E-05,-0.39309804
2.18E-07,-0.1734902
9.60E-05,-0.10290196
0.00036601,-0.5107451
0.0008102,0.66572549
0.00142856,0.83043137
0.00222112,-2.2911373
0.00318787,-1.5538824
0.00432881,-3.5146667
0.00564393,-3.8519216
0.00713324,-3.9068235
0.00879674,-3.8676078
0.01063443,-3.9617255
0.01264631,-3.7708163
0.01483238,-3.8228128
0.01719263,0.094049629
0.01972708,4.3719279
0.02243571,9.6069004
0.02531853,6.5675946
0.02837554,3.2932262
0.03160674,8.0504619
0.03501213,2.8393016
0.0385917,-3.9873135
0.04234547,-2.6803637
0.04627342,2.3444647
0.05037556,0.89109318
0.05465189,0.026188477
0.05910241,0.66739764
0.06372712,0.97942654
0.06852602,-2.1514503
0.0734991,-0.74091916
0.07864638,5.5874905
0.08396784,8.7239749
0.08946349,4.55873
0.09513333,-2.382754
0.10097736,-3.8730261
0.10699557,-3.6846354
0.11318798,-3.8724837
0.11955457,-2.1855907
0.12609535,-0.09062301
0.13281032,0.31830164
0.13969948,-0.90391474
0.14676283,0.45449253
0.15400037,1.6954843
0.16141209,2.9053349
0.16899801,1.9114956
0.17675811,1.4590642
0.1846924,1.6970604
0.19280088,1.4803861
0.20108355,0.1972767
0.20954041,-1.1405032
0.21817145,-1.1996202
0.22697669,0.94541593
0.23595611,1.4122522
0.24510972,0.83618264
0.25443752,0.6132858
0.26393951,1.4180715
0.27361569,0.2623043
0.28346605,-2.0383294
0.29349061,-1.9936335
0.30368935,-1.4545885
0.31406228,-2.515312
0.3246094,-2.3365882
0.33533071,-0.94978988
0.34622621,-0.11177961
0.3572959,0.55391315
0.36853977,1.0865041
0.37995783,1.1095226
0.39155009,0.56806675
0.40331653,0.90527378
0.41525716,1.509379
0.42737197,1.6274412
0.43966098,2.2712251
0.45212418,2.428966
0.46476156,1.935958
0.47757313,0.93337762
0.49055889,0.11926403
0.50371884,-0.49853961
0.51705298,-1.2102294
0.53056131,-1.1765896
0.54424382,-0.81330661
0.55810053,-0.66939991
0.57213142,-0.44683033
0.5863365,-0.098539046
0.60071577,0.19508179
0.61526923,0.68501256
0.62999688,0.90850817
0.64489871,0.74792157
0.65997473,1.1076999
0.67522495,0.70668231
0.69064935,0.44682955
0.70624794,0.14774949
0.72202072,-0.21408729
0.73796769,-0.82691609
0.75408884,0.45043957
0.77038419,-1.0800595
0.78685372,-0.085080064
0.80349744,-0.43128869
0.82031535,0.32053028
0.83730745,-0.77864276
0.85447374,-0.50527841
0.87181421,-0.020160981
0.88932888,-0.93897674
0.90701773,-1.1205492
0.92488077,0.61943531
0.942918,-0.41706238
0.96112942,-0.38690502
0.97951503,0.49814267
0.99807483,0.60670815
1.0168088,0.56624241
1.035717,0.47870621
1.0547993,2.6970407
1.0740559,0.89183425
1.0934866,1.0944593
1.1130916,2.7323668
1.1328707,0.42516462
1.152824,1.2865783
1.1729515,1.3636666
1.1932532,1.0250571
1.213729,1.2982006
1.2343791,1.1399599
1.2552033,1.4915115
1.2762018,0.82344372
1.2973744,0.60242309
1.3187212,1.3460967
1.3402422,0.21524893
1.3619374,1.0687032
1.3838068,1.1143028
1.4058504,0.90106717
1.4280681,0.95448661
1.4504601,0.98436502
1.4730262,1.0456043
1.4957665,0.77742029
1.518681,0.83863637
1.5417697,0.37435063
1.5650326,0.41201406
1.5884697,0.19084233
1.612081,-0.05387043
1.6358664,0.26611107
1.6598261,0.20176722
1.6839599,0.14525488
1.7082679,0.44951523
1.7327501,0.22827377
1.7574065,0.54035401
1.7822371,0.23281479
1.8072419,0.35663649
1.8324209,0.38632893
1.857774,0.1964019
1.8833013,0.45352207
1.9090029,0.2871012
1.9348786,0.17557067
1.9609285,0.26010695
1.9871526,0.10149435
2.0135509,0.13894856
2.0401234,0.15286174
2.06687,0.11186133
2.0937909,0.13359439
2.1208859,0.053355054
2.1481551,0.20839821
