,Intensity
-7.86E-05,-0.42698039
2.18E-07,-0.12109804
9.60E-05,0.043607843
0.00036601,-0.32501961
0.0008102,0.12203922
0.00142856,0.63184314
0.00222112,-2.4426667
0.00318787,-2.630902
0.00432881,-3.0230588
0.00564393,-3.9328627
0.00713324,-3.7916863
0.00879674,-3.9328627
0.01063443,-3.7054118
0.01264631,-3.9223775
0.01483238,-3.8175459
0.01719263,-0.24581888
0.01972708,4.5653526
0.02243571,9.2591058
0.02531853,6.1805386
0.02837554,3.7453375
0.03160674,7.6633064
0.03501213,2.4756216
0.0385917,-3.7628148
0.04234547,-2.9029833
0.04627342,4.5688418
0.05037556,2.1977583
0.05465189,-0.18878275
0.05910241,0.30333636
0.06372712,0.59960579
0.06852602,-2.586249
0.0734991,-0.030698508
0.07864638,7.5839042
0.08396784,8.9948142
0.08946349,3.3392862
0.09513333,-2.4022876
0.10097736,-3.7201032
0.10699557,-3.7514155
0.11318798,-3.7119108
0.11955457,-2.3388441
0.12609535,-0.92633289
0.13281032,-0.9332008
0.13969948,-0.72807525
0.14676283,0.4968869
0.15400037,1.9809013
0.16141209,3.2533798
0.16899801,2.3064792
0.17675811,1.6421602
0.1846924,2.5074818
0.19280088,2.1887185
0.20108355,-0.27099265
0.20954041,-2.4951809
0.21817145,-1.8328659
0.22697669,0.26497203
0.23595611,1.8218622
0.24510972,1.6848635
0.25443752,1.2265249
0.26393951,1.8193954
0.27361569,0.63994572
0.28346605,-1.5039811
0.29349061,-1.5457184
0.30368935,-1.5558545
0.31406228,-2.9696833
0.3246094,-3.1126951
0.33533071,-1.3809684
0.34622621,-0.2450914
0.3572959,0.95375948
0.36853977,1.9018587
0.37995783,1.7913632
0.39155009,1.775214
0.40331653,1.8063525
0.41525716,2.3632099
0.42737197,2.1673548
0.43966098,1.9325128
0.45212418,2.1292722
0.46476156,1.5968485
0.47757313,0.54700647
0.49055889,0.21111871
0.50371884,-0.56375598
0.51705298,-1.4482058
0.53056131,-1.0932113
0.54424382,-0.7301448
0.55810053,-0.6648888
0.57213142,-0.26999229
0.5863365,-0.36114153
0.60071577,0.081271315
0.61526923,0.41410899
0.62999688,0.80992051
0.64489871,1.1275294
0.65997473,0.9849974
0.67522495,1.3287242
0.69064935,0.88812169
0.70624794,0.27495446
0.72202072,0.093144114
0.73796769,-0.10436817
0.75408884,-0.75679807
0.77038419,-0.20924363
0.78685372,-0.83817545
0.80349744,-0.40045626
0.82031535,-0.84902724
0.83730745,-0.042711927
0.85447374,-0.93837306
0.87181421,-0.64973612
0.88932888,0.17221848
0.90701773,-0.50388179
0.92488077,-0.46627223
0.942918,0.41053735
0.96112942,0.20497832
0.97951503,-0.016282635
0.99807483,0.94675447
1.0168088,1.2117367
1.035717,0.98258561
1.0547993,1.2789091
1.0740559,2.328158
1.0934866,0.89111683
1.1130916,1.4619031
1.1328707,1.9542423
1.152824,1.0504875
1.1729515,0.91534441
1.1932532,1.1723425
1.213729,1.0528544
1.2343791,0.63531142
1.2552033,0.72755669
1.2762018,1.5178255
1.2973744,0.95121592
1.3187212,0.77674753
1.3402422,1.206185
1.3619374,0.59246965
1.3838068,0.68462094
1.4058504,0.90224677
1.4280681,1.0022099
1.4504601,1.0394122
1.4730262,1.1001283
1.4957665,1.2392601
1.518681,0.84504293
1.5417697,0.82728067
1.5650326,0.69185569
1.5884697,0.45445426
1.612081,0.19350775
1.6358664,0.026663234
1.6598261,0.20490109
1.6839599,-0.13452377
1.7082679,0.004467081
1.7327501,0.35520697
1.7574065,0.094166499
1.7822371,0.53114958
1.8072419,0.51321503
1.8324209,0.47957855
1.857774,0.60278916
1.8833013,0.36519978
1.9090029,0.35504573
1.9348786,0.21154268
1.9609285,0.11508279
1.9871526,0.23821509
2.0135509,0.024076816
2.0401234,0.20207975
2.06687,0.34869447
2.0937909,0.3227445
2.1208859,0.41442594
2.1481551,0.52962112
2.1755985,0.18989868
2.2032161,0.4227096
2.2310079,0.30256368
2.2589739,0.27651975
2.2871141,0.35242094
2.3154285,0.27144372
2.343917,0.36299986
2.3725797,0.32905014
2.4014167,0.46763378
2.4304278,0.41796646
2.4596131,0.31338152
2.4889726,0.47544759
2.5185062,0.34730191
2.5482141,0.43090528
