,Intensity
-7.86E-05,-0.31466667
2.18E-07,-0.36956863
9.60E-05,-0.36956863
0.00036601,-0.46368627
0.0008102,-0.1734902
0.00142856,0.27356863
0.00222112,-2.3538824
0.00318787,-2.393098
0.00432881,-2.9891765
0.00564393,-3.6244706
0.00713324,-3.5303529
0.00879674,-3.4989804
0.01063443,-3.6009412
0.01264631,-3.5665922
0.01483238,-3.4535541
0.01719263,-0.48535639
0.01972708,4.1301579
0.02243571,9.1851455
0.02531853,6.1776457
0.02837554,3.3900115
0.03160674,7.6536154
0.03501213,2.6782613
0.0385917,-3.4419331
0.04234547,-3.0912817
0.04627342,4.5380589
0.05037556,2.442167
0.05465189,-0.44562411
0.05910241,0.49429348
0.06372712,0.53250798
0.06852602,-2.2760786
0.0734991,-0.025584026
0.07864638,7.3937957
0.08396784,9.1820607
0.08946349,3.4647009
0.09513333,-2.3229894
0.10097736,-3.4437553
0.10699557,-3.4191654
0.11318798,-3.3943179
0.11955457,-2.5692126
0.12609535,-0.9203203
0.13281032,-0.94960162
0.13969948,-1.1825468
0.14676283,0.66319708
0.15400037,1.615081
0.16141209,3.2652619
0.16899801,2.0607985
0.17675811,1.5467888
0.1846924,2.6173506
0.19280088,2.252876
0.20108355,-0.25251737
0.20954041,-2.6556923
0.21817145,-2.1409624
0.22697669,0.060299655
0.23595611,1.9010351
0.24510972,1.781244
0.25443752,1.1048478
0.26393951,1.6992975
0.27361569,0.59204413
0.28346605,-1.3620103
0.29349061,-1.6844346
0.30368935,-1.4811109
0.31406228,-2.8540001
0.3246094,-3.0736904
0.33533071,-1.4421427
0.34622621,-0.26523918
0.3572959,0.87270633
0.36853977,2.0501252
0.37995783,1.7768214
0.39155009,2.1782851
0.40331653,1.9133399
0.41525716,2.6133582
0.42737197,2.6391245
0.43966098,2.1396582
0.45212418,2.1580967
0.46476156,1.7689497
0.47757313,0.57221734
0.49055889,0.058095602
0.50371884,-0.79302334
0.51705298,-1.5027081
0.53056131,-1.3493901
0.54424382,-0.74875553
0.55810053,-0.46158877
0.57213142,-0.42514469
0.5863365,-0.32569782
0.60071577,0.017144003
0.61526923,0.49357686
0.62999688,1.00164
0.64489871,1.2040784
0.65997473,1.429976
0.67522495,1.3578165
0.69064935,1.0268155
0.70624794,0.35069847
0.72202072,-0.097985506
0.73796769,-0.076099195
0.75408884,-0.46991711
0.77038419,-0.81669414
0.78685372,-0.33211658
0.80349744,-0.71030205
0.82031535,-0.68850548
0.83730745,-0.4863347
0.85447374,-0.25280932
0.87181421,-0.67812541
0.88932888,0.17497192
0.90701773,0.3535415
0.92488077,-0.30712255
0.942918,0.11454839
0.96112942,0.91267197
0.97951503,0.22842466
0.99807483,0.34415941
1.0168088,1.361837
1.035717,1.4383202
1.0547993,1.2245893
1.0740559,1.7088797
1.0934866,2.2637404
1.1130916,1.1401518
1.1328707,1.5851726
1.152824,1.9046854
1.1729515,0.91437623
1.1932532,0.87306875
1.213729,1.1611551
1.2343791,0.735498
1.2552033,0.63139158
1.2762018,0.95863976
1.2973744,1.1211641
1.3187212,0.66406268
1.3402422,0.84223741
1.3619374,0.97333538
1.3838068,0.72010167
1.4058504,1.0550853
1.4280681,1.3194628
1.4504601,1.4269595
1.4730262,1.228556
1.4957665,1.0771933
1.518681,1.1611068
1.5417697,0.72735532
1.5650326,0.50535057
1.5884697,0.49509259
1.612081,-0.001457851
1.6358664,0.16079729
1.6598261,0.095583502
1.6839599,-0.024550194
1.7082679,0.15333738
1.7327501,0.21355994
1.7574065,0.18749005
1.7822371,0.38885319
1.8072419,0.47255133
1.8324209,0.44642759
1.857774,0.4595016
1.8833013,0.38628315
1.9090029,0.47775263
1.9348786,0.3025375
1.9609285,0.21357893
1.9871526,0.23440633
2.0135509,0.2160001
2.0401234,0.38581122
2.06687,0.30462399
2.0937909,0.48224235
2.1208859,0.47160747
2.1481551,0.50017032
2.1755985,0.50518582
2.2032161,0.17292847
2.2310079,0.33477081
2.2589739,0.21424227
2.2871141,0.2034997
